interacao_id,lead_id,canal,etapa_cadencia,data_interacao,resultado,objecao_registrada,resumo_interacao
206,59,LinkedIn,4,2026-08-14,Sem resposta,,Nenhuma resposta ate o momento
207,60,Email,1,2026-05-25,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
208,60,WhatsApp,2,2026-05-28,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
209,60,WhatsApp,3,2026-06-01,Objecao,Nao e prioridade este ano,Respondeu que nao e prioridade neste momento
210,60,Email,4,2026-06-01,Sem resposta,,Nenhuma resposta ate o momento
211,60,WhatsApp,5,2026-06-09,Sem resposta,,Nenhuma resposta ate o momento
212,61,WhatsApp,1,2026-08-12,Respondeu,,Questionou sobre integracao com o ambiente de nuvem que ja usam
213,61,WhatsApp,2,2026-08-12,Respondeu,,Perguntou como funciona a alocacao de especialista sem abrir headcount
214,61,WhatsApp,3,2026-08-21,Respondeu,,Perguntou sobre volume de dados processado e tempo de implantacao
215,62,Email,1,2026-05-09,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
216,62,LinkedIn,2,2026-05-15,Reuniao marcada,,Aceitou reuniao para apresentar a solucao em detalhe
217,62,LinkedIn,3,2026-05-20,Sem resposta,,Nenhuma resposta ate o momento
218,63,WhatsApp,1,2026-06-30,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
219,63,Email,2,2026-07-08,Sem resposta,,Nenhuma resposta ate o momento
220,64,LinkedIn,1,2026-06-06,Respondeu,,Pediu para encaminhar o material para o time tecnico avaliar
221,64,LinkedIn,2,2026-06-11,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
222,64,Email,3,2026-06-18,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
223,65,Email,1,2026-04-22,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
224,65,Email,2,2026-04-25,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
225,65,WhatsApp,3,2026-05-04,Sem resposta,,Nenhuma resposta ate o momento
226,65,Email,4,2026-05-09,Respondeu,,Questionou sobre integracao com o ambiente de nuvem que ja usam
227,65,WhatsApp,5,2026-05-14,Objecao,Manda material por email,Disse que ja tem um parceiro atendendo esse escopo
228,66,LinkedIn,1,2026-06-05,Objecao,Ja temos parceiro,Respondeu que nao e prioridade neste momento
229,66,Email,2,2026-06-10,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
230,66,LinkedIn,3,2026-06-18,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
231,66,LinkedIn,4,2026-06-12,Objecao,Nao e prioridade este ano,Informou que o orcamento do ano ja esta comprometido
232,66,LinkedIn,5,2026-06-20,Respondeu,,Perguntou como funciona a alocacao de especialista sem abrir headcount
233,66,LinkedIn,6,2026-06-30,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
234,67,LinkedIn,1,2026-03-29,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
235,67,Email,2,2026-04-01,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
236,67,LinkedIn,3,2026-04-13,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
237,67,LinkedIn,4,2026-04-11,Reuniao marcada,,Confirmou call para semana seguinte para discutir escopo tecnico
238,68,Email,1,2026-04-27,Objecao,Ja temos parceiro,Disse que ja tem um parceiro atendendo esse escopo
239,68,LinkedIn,2,2026-05-02,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
240,68,LinkedIn,3,2026-05-12,Objecao,Orcamento comprometido,Disse que ja tem um parceiro atendendo esse escopo
241,68,LinkedIn,4,2026-05-10,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
242,69,Email,1,2026-06-16,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
243,69,Email,2,2026-06-22,Objecao,Nao e prioridade este ano,Disse que ja tem um parceiro atendendo esse escopo
244,69,Email,3,2026-06-28,Sem resposta,,Nenhuma resposta ate o momento
245,69,Email,4,2026-06-30,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
246,70,Email,1,2026-06-04,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
247,70,WhatsApp,2,2026-06-06,Respondeu,,Perguntou sobre volume de dados processado e tempo de implantacao
248,70,Email,3,2026-06-12,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
249,70,Email,4,2026-06-16,Nao perturbe,,Solicitou remocao da lista de prospeccao
250,70,Email,5,2026-06-15,Reuniao marcada,,Aceitou reuniao para apresentar a solucao em detalhe
251,71,WhatsApp,1,2026-09-03,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
252,71,Email,2,2026-09-04,Sem resposta,,Nenhuma resposta ate o momento
253,71,WhatsApp,3,2026-09-13,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
254,72,LinkedIn,1,2026-05-22,Sem resposta,,Nenhuma resposta ate o momento
255,72,LinkedIn,2,2026-05-27,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
256,73,WhatsApp,1,2026-04-16,Sem resposta,,Nenhuma resposta ate o momento
257,73,Email,2,2026-04-19,Nao perturbe,,Solicitou remocao da lista de prospeccao
258,73,LinkedIn,3,2026-05-01,Reuniao marcada,,Reuniao marcada apos troca sobre caso de uso similar ao deles
259,73,LinkedIn,4,2026-05-03,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
260,73,Email,5,2026-04-28,Sem resposta,,Nenhuma resposta ate o momento
261,74,Email,1,2026-06-15,Sem resposta,,Nenhuma resposta ate o momento
262,74,Email,2,2026-06-21,Respondeu,,Pediu para encaminhar o material para o time tecnico avaliar
263,74,WhatsApp,3,2026-06-29,Objecao,,"Pediu para so enviar material por email, sem call"
264,74,LinkedIn,4,2026-06-27,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
265,75,WhatsApp,1,2026-08-19,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
266,75,Email,2,2026-08-24,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
267,75,Email,3,2026-08-28,Objecao,Orcamento comprometido,Informou que o orcamento do ano ja esta comprometido
268,75,Email,4,2026-08-28,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
269,75,WhatsApp,5,2026-09-05,Respondeu,,Perguntou sobre volume de dados processado e tempo de implantacao
270,75,Email,6,2026-09-15,Objecao,Orcamento comprometido,Informou que o orcamento do ano ja esta comprometido
271,76,Email,1,2026-06-05,Sem resposta,,Nenhuma resposta ate o momento
272,76,Email,2,2026-06-08,Nao perturbe,,Solicitou remocao da lista de prospeccao
273,77,WhatsApp,1,2026-05-31,Objecao,Manda material por email,"Disse que a decisao nao e dele, indicou outro contato"
274,77,LinkedIn,2,2026-06-02,Objecao,,"Disse que a decisao nao e dele, indicou outro contato"
275,77,WhatsApp,3,2026-06-11,Respondeu,,Perguntou como funciona a alocacao de especialista sem abrir headcount
276,77,LinkedIn,4,2026-06-08,Respondeu,,Pediu para encaminhar o material para o time tecnico avaliar
277,78,Email,1,2026-05-25,Reuniao marcada,,Aceitou reuniao para apresentar a solucao em detalhe
278,78,WhatsApp,2,2026-05-27,Sem resposta,,Nenhuma resposta ate o momento
279,79,Email,1,2026-05-26,Sem resposta,,Nenhuma resposta ate o momento
280,79,LinkedIn,2,2026-05-29,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
